timesteps	evaders	pursuers
355	[[18, 8]]	[[17, 8], [21, 10], [17, 11], [19, 12]]
356	[[19, 9]]	[[17, 8], [20, 9], [17, 10], [19, 11]]
357	[[20, 10]]	[[18, 7], [21, 10], [17, 9], [19, 11]]
358	[[21, 11]]	[[18, 7], [22, 9], [17, 10], [20, 12]]
359	[[21, 12]]	[[19, 8], [23, 10], [17, 10], [21, 13]]
360	[[21, 12]]	[[20, 9], [23, 11], [18, 11], [21, 14]]
361	[[22, 13]]	[[20, 10], [23, 12], [19, 12], [21, 14]]
362	[[22, 14]]	[[21, 11], [24, 13], [19, 13], [22, 15]]
363	[[23, 15]]	[[22, 12], [24, 13], [20, 14], [23, 16]]
364	[[22, 16]]	[[22, 13], [24, 13], [21, 15], [23, 17]]
365	[[22, 17]]	[[22, 13], [24, 14], [20, 16], [22, 18]]
